category_id,category
1,Bengali
2,Make Your Own Combo
3,Monsoon Combo
4,Gift Hampers 
5,Wow! Thunderzz
6,Paratha Rolls
7,Fil Fil Alfahm Mandi
8,Cornetto
9,Chicken Thali
10,Ice Cream Shrikhand
11,Tandoor E Snacks
12,SOUPS
13,Combos and Meals
14,Paneer Curries
15,Veg Burger with French Fries
16,Dessert Sweets
17,Ragi ( Idli & Dosa)
18,Shravan Specials [ss]
19,North Indian Curry
20,Mother's Day Specials
21,Indian Flavoured Rice
22,SOUP VEG
23,Ice cream
24,Asian Kitchen
25,Cafe Aurora Combo Special
26,Cheese Burst Pizza
27,Basmati Rice Combos
28,Value Meal Bento
29,Juice and coffee
30,Rakhi Special Boxes
31,Crushers (Spl)
32,Khao Suey
33,Non Veg Bites
34,Kebabs & More (New)
35,Microwave Popcorn
36,Sundae
37,Uttapam
38,Kaju And Paneer
39,BREAKFAST
40,Swiggy Exclusive Combo
41,Exotic
42,Healthy Khichdi
43,Around the World
44,Gourmet Non Veg Pizza
45,KHARIZA
46,Wood Fired Neapolitan Pizza
47,Indian main course
48,Double Chicken Roll
49,Starters Non Veg
50,Vada pav
51,Persian Table Special Shake And Mojito
52,Punjabi Breads
53,Irresistible Eclairs
54,Side Orders
55,Chef Special
56,Pure Soya Imported Fry Veg Meat
57,Big Fat Bakers
58,Non Veg Sandwich with French Fries
59,IPL Combo
60,Pork Noodles
61,Biryani Fried Rice And Noodles
62,Indian Appetizers (paneer)
63,Fresh Juice
64,SCHEZWAN RICE
65,Arabian Foods
66,Dream's Weekly Offer!
67,Combo Meals For One
68,EID special sweet box
69,Kabab Platter
70,Barbeque in a Box (Serves 1-2)
71,Fast Food
72,Korean Barbeque Bapsang
73,Non veg
74,Live Specials
75,Al Faham / Bbq
76,Tandoori Specials
77,Chettinad Special Gravy
78,Garlic Breads & Dips
79,Gift Sweet Box Combo
80,Rice & Biryani 
81,RAMEN
82,Cakes(Egg-Free)
83,Other Beverages
84,Hot Coffees
85,Double Down Burger
86,Gota And Vada
87,Party Combo
88,Cake [1 Kg]
89,Butter Special
90,Home style biryani
91,Grilled & Roast (BBQ)
92,DESI CHINESE STARTERS
93,Paneer Roll
94,GRILLED  /  SMOKED
95,Papad Salad & Raita
96,International Shakes
97,Non Veg Staters
98,RICE
99,Veg Wraps And Kathi Rolls
100,Healthy Meals
101,Bowl
102,Dessert Sandwich
103,Biryani 
104,Gangour special
105,Stuff Paratha
106,Midnight Feast
107,Noodles & Fried Rice
108,Hot Dogs
109,Pan Fried Momo
110,Rollarappaa's Special Shawarmas
111,Drinks
112,Laddu Speical
113,Wow! Birthday Save up to41%
114,Fresh From Our Bakery
115,Pakora
116,Signature Garlic Knots
117,Plain Sabji
118,Coolers & Iced Tea
119,Starters & Afgani
120,Midnight Bites
121,Panino
122,Nathus Special Sweets
123,Starter/Kebabs
124,Chinese Starters
125,Fish Starters
126,Veg Simply Pizza
127,Veg thali kashmiri
128,Lamen Fried (Flat Noodles Dry)
129,Dal & Pulses
130,Quick Meal
131,Special Combo
132,Chinese Prawn
133,Pork Soup 
134,Tea Time Block Cake ( Slices)
135,Jumbo Rolls
136,Cake Of The Month
137,Mutton Starters
