date_id,full_date,year,month,month_name,quarter,day,week
1,2025-03-02,2025,3,March    ,1,2,9
2,2025-07-21,2025,7,July     ,3,21,30
3,2025-05-21,2025,5,May      ,2,21,21
4,2025-05-16,2025,5,May      ,2,16,20
5,2025-03-06,2025,3,March    ,1,6,10
6,2025-06-10,2025,6,June     ,2,10,24
7,2025-04-11,2025,4,April    ,2,11,15
8,2025-06-09,2025,6,June     ,2,9,24
9,2025-08-11,2025,8,August   ,3,11,33
10,2025-01-07,2025,1,January  ,1,7,2
11,2025-05-10,2025,5,May      ,2,10,19
12,2025-07-10,2025,7,July     ,3,10,28
13,2025-04-30,2025,4,April    ,2,30,18
14,2025-07-19,2025,7,July     ,3,19,29
15,2025-03-23,2025,3,March    ,1,23,12
16,2025-03-22,2025,3,March    ,1,22,12
17,2025-08-04,2025,8,August   ,3,4,32
18,2025-04-13,2025,4,April    ,2,13,15
19,2025-08-06,2025,8,August   ,3,6,32
20,2025-07-02,2025,7,July     ,3,2,27
21,2025-02-09,2025,2,February ,1,9,6
22,2025-04-26,2025,4,April    ,2,26,17
23,2025-03-17,2025,3,March    ,1,17,12
24,2025-01-16,2025,1,January  ,1,16,3
25,2025-05-01,2025,5,May      ,2,1,18
26,2025-05-24,2025,5,May      ,2,24,21
27,2025-08-07,2025,8,August   ,3,7,32
28,2025-01-08,2025,1,January  ,1,8,2
29,2025-03-08,2025,3,March    ,1,8,10
30,2025-07-31,2025,7,July     ,3,31,31
31,2025-07-29,2025,7,July     ,3,29,31
32,2025-08-13,2025,8,August   ,3,13,33
33,2025-08-16,2025,8,August   ,3,16,33
34,2025-02-03,2025,2,February ,1,3,6
35,2025-02-01,2025,2,February ,1,1,5
36,2025-02-12,2025,2,February ,1,12,7
37,2025-04-05,2025,4,April    ,2,5,14
38,2025-06-03,2025,6,June     ,2,3,23
39,2025-04-22,2025,4,April    ,2,22,17
40,2025-06-29,2025,6,June     ,2,29,26
41,2025-02-14,2025,2,February ,1,14,7
42,2025-05-30,2025,5,May      ,2,30,22
43,2025-01-15,2025,1,January  ,1,15,3
44,2025-05-26,2025,5,May      ,2,26,22
45,2025-06-25,2025,6,June     ,2,25,26
46,2025-04-06,2025,4,April    ,2,6,14
47,2025-04-27,2025,4,April    ,2,27,17
48,2025-07-05,2025,7,July     ,3,5,27
49,2025-07-22,2025,7,July     ,3,22,30
50,2025-01-22,2025,1,January  ,1,22,4
51,2025-08-14,2025,8,August   ,3,14,33
52,2025-07-01,2025,7,July     ,3,1,27
53,2025-06-02,2025,6,June     ,2,2,23
54,2025-07-04,2025,7,July     ,3,4,27
55,2025-07-12,2025,7,July     ,3,12,28
56,2025-06-28,2025,6,June     ,2,28,26
57,2025-02-22,2025,2,February ,1,22,8
58,2025-04-23,2025,4,April    ,2,23,17
59,2025-08-18,2025,8,August   ,3,18,34
60,2025-07-27,2025,7,July     ,3,27,30
61,2025-06-30,2025,6,June     ,2,30,27
62,2025-07-06,2025,7,July     ,3,6,27
63,2025-02-05,2025,2,February ,1,5,6
64,2025-03-24,2025,3,March    ,1,24,13
65,2025-07-13,2025,7,July     ,3,13,28
66,2025-01-02,2025,1,January  ,1,2,1
67,2025-04-10,2025,4,April    ,2,10,15
68,2025-06-06,2025,6,June     ,2,6,23
69,2025-08-19,2025,8,August   ,3,19,34
70,2025-03-09,2025,3,March    ,1,9,10
71,2025-06-19,2025,6,June     ,2,19,25
72,2025-05-04,2025,5,May      ,2,4,18
73,2025-02-17,2025,2,February ,1,17,8
74,2025-07-11,2025,7,July     ,3,11,28
75,2025-06-05,2025,6,June     ,2,5,23
76,2025-04-03,2025,4,April    ,2,3,14
77,2025-02-07,2025,2,February ,1,7,6
78,2025-01-06,2025,1,January  ,1,6,2
79,2025-05-06,2025,5,May      ,2,6,19
80,2025-05-28,2025,5,May      ,2,28,22
81,2025-05-31,2025,5,May      ,2,31,22
82,2025-06-24,2025,6,June     ,2,24,26
83,2025-08-08,2025,8,August   ,3,8,32
84,2025-05-15,2025,5,May      ,2,15,20
85,2025-02-19,2025,2,February ,1,19,8
86,2025-07-07,2025,7,July     ,3,7,28
87,2025-06-18,2025,6,June     ,2,18,25
88,2025-05-20,2025,5,May      ,2,20,21
89,2025-04-18,2025,4,April    ,2,18,16
90,2025-05-25,2025,5,May      ,2,25,21
91,2025-06-23,2025,6,June     ,2,23,26
92,2025-01-10,2025,1,January  ,1,10,2
93,2025-03-12,2025,3,March    ,1,12,11
94,2025-01-17,2025,1,January  ,1,17,3
95,2025-02-11,2025,2,February ,1,11,7
96,2025-04-17,2025,4,April    ,2,17,16
97,2025-05-02,2025,5,May      ,2,2,18
98,2025-01-04,2025,1,January  ,1,4,1
99,2025-04-14,2025,4,April    ,2,14,16
100,2025-01-13,2025,1,January  ,1,13,3
101,2025-06-21,2025,6,June     ,2,21,25
102,2025-08-12,2025,8,August   ,3,12,33
103,2025-06-08,2025,6,June     ,2,8,23
104,2025-03-27,2025,3,March    ,1,27,13
105,2025-03-15,2025,3,March    ,1,15,11
106,2025-06-13,2025,6,June     ,2,13,24
107,2025-02-25,2025,2,February ,1,25,9
108,2025-03-11,2025,3,March    ,1,11,11
109,2025-02-08,2025,2,February ,1,8,6
110,2025-05-11,2025,5,May      ,2,11,19
111,2025-01-03,2025,1,January  ,1,3,1
112,2025-08-21,2025,8,August   ,3,21,34
