dish_id,dish_name
1,Chicken & Cheese Omelette
2,The Traditional Margherita Pizza
3,Mix Pasta
4,Ajwain Khakhra
5,Mixed rice
6,Seasonal vegetable with 5 Roti combo.
7,Dal Makhani - Everyday Thali
8,Paneer Tikka Makhanwala
9,Spicy Pork Ramen
10,Almond Roasted & Salted
11,Egg White
12,Classic Chicken Mini Roll+ Tawa Chicken Mini Ro...
13,Wan Chai Midnight Chicken
14,Caramel frappe
15,Nawada Mutton
16,Kaju Katli [ 250 Grams ]
17,Chicken Burnt Garlic Rice
18,Veg pulao
19,Chicken Malai Tikka (10 Pcs)
20,Chicken gizzard liver.
21,Samosa Dahi Chaat [Serves 1]
22,Chicken Hyderabadi Biryani + raita + gravy
23,Paneer Subz Biryani (Paneer Dum and Veg Biryani - Serves 1).
24,Boneless Chicken 65
25,Labanga [1 Piece]
26,Chicken Biryani Nawabi style
27,Suffed Lencha (1Pc)
28,Paprika Cheese Balls
29,T20 Thali
30,Echhola paneer
31,Chicken Do Pyaza(2/4/8 Pcs.)
32,Green apple Mojitos
33,Corn salt and pepper [full]
34,Vegetable Sandwich Without Grill Cheese (230 Gms)
35,Chotemiyan Seekh Kebab
36,Oreo Brownie
37,Soya Chaap Achari Tikka
38,Cheese Cutlet
39,Singh Da Saag Chicken Masala Rice Bowl
40,Mutton Kasa
41,Choco chips pastry
42,DAHI
43,Fruity Custard Tart
44,Singaporean chicken noodles
45,Workholic Photo Cake
46,Special Party Pack Chicken Biryani Combo
47,Paneer Pakoda (4 Pcs)
48,Abar Kabo (4Pic)
49,Sambar Vada (2pcs)
50,Cream of tomato soup [full]
51,Family Meal  2
52,Mixed Chaat Separate Saunth Chutney Dahi
53,Mushroom Momo (5 Pc)
54,Tiramisu Grande Sundae Tub (480 ml)
55,Amaris Fied Rice
56,Chicken chowmin
57,Egg Fried Rice + Chicken Manchurian + Egg Schezwan Hakka Noodles    
58,Karam Podi Ghee Idly [4 pieces]                                    
59,Chilli Cheese Maggi
60,Chana Barfi
61,Fika Ghewar
62,Garlic Chicken Gravy Half
63,Chicken Curry Masala
64,Forest Chicken Pesto Pasta
65,Raskadam [1 Piece]
66,Mushroom Pepper Fry Medium
67,Ghee gulab jamun
68,Bread Pakora
69,Wildberry
70,Mutton Pepper Fry
71,Corn cheese fried momo                                                                                                       
72,Veg Protein Khichdi
73,Chicken Sweet Chilli Sauce (b/l)
74,C2 Juice[healthy]
75,Egg Roll Non-Veg
76,Egg chilli Dry
77,Chicken Afghani Tikka
78,Marinara Non Veg Pasta
79,2 Value Rice Bowl Veg+1 Small Fries+1 Cinnamon Twists+2 Pepsi Zero
80,Chicken lanka pyaza
81,Kaju Rose Kathili(1kg)
82,Rabdi Bada Ghewar (1 Piece)
83,Malai Sandwhich(1pc)
84,4 Piece Egg Curry + Rice + 2 Tandoori Roti + Salad + Papad Fry
85,Doodh Sev
86,Schezwan noodles   
87,Paper masala dosa + pepsi [330 ml] can
88,Prawn Chilly 
89,Virgin Margarita
90,Fulka (3Pcs)
91,Vazhaipoo Masala Dosa
92,Chicken Doi
93,Gulab Jamun (5 Pice)
94,Murgh Shahi Tangri Biryani
95,Paneer labalab
96,Khasta Kachori with Aloo Sabzi [1 Piece]
97,Butter Chicken Boneless
98,Onion Pesara Ghee
99,Egg Chicken Tarka Half  + 2 Pics Rumali Roti
100,Onion salad
101,Homely Millet Vegetable Khichdi
102,Riban Pakodi 200g
103,Korean Mc Spicy Paneer Burger Combo (M)
104,Gond Laddu (6 Pcs)
105,Bikano Bikaneri Bhujia 400g
106,Veg Chopsuey In Sweet Tomato Sauce
107,Steam Rice + Egg Curry (1 Pc) + Salad 
108,Salted Caramel Cheesecake Slices
109,Chicken Roast (Leg) 2 pics
110,Tawa Roti [1 Piece]
111,Golden Chicken Delight Thin Crust Pizza(Serves 2)
112,Cheese Chilli Paratha
113,Tikki
114,Kootu-500 Gms
115,Paneer In Sweet & Sour Sauce
116,Country Feast Pizza
117,Korean Fried Chicken Burger or Wrap Combo.
118,"Matka Mutton Dum Biryani [1 Kg, Serves 2]"
119,Paneer Patties - 1p
120,Copper Kitchen Special Falooda Mini
121,Dragonfire Chicken Thin Crust Pizza(Serves 2)
122,Bun Parotta 2 Pcs [n]
123,Veg fried rice chicken curry combo 3pc
124,Veg Fajita Tortilla Sandwich
125,Chilly Buttun Mushroom
126,Chicken Do Piyaza Combo
127,Mirchi Korma Bl Half
128,Peri-peri Chicken Shawarma On Plate
129,Chilly Panner
130,Kaju Roll ( 1 Kg)
131,Chimichurri Spicy Paneer Burger
132,Nutella Cheesecake
133,Hungerz 5 Star Burger
134,Khajoor Barfi (Per Kg)
135,Urban Pind Chicken Tawa Tikka Biryani + (rasbhari Jamun Rasgulla Box)
136,Goja
137,Chinese Sizzler
138,Dal Makhani-everyday Thali
139,Nutella Fudge
140,BURMESE PRAWN COMBO (WITH NOODLES)
141,7'' Paneer Hot & Spicy Pizza
142,Jam Bun Maska
143,Andhra Bheemeshwara Special Chicken Boneless Biryani
144,Special chowmein
145,Mattar Mushroom Veg
146,Chicken Lollipop [4 Piece]
147,Fresh Veggie Pizza
148,Raw Mango Mojito
149,Mutton Tibetan Cheese Thukpa
150,Chola Poori
151,Colombian Gold Flavour Cold Coffee
152,Shake Chocolate
153,Mini Idly Parcel                             
154,Red Velvet Cake 500 Gm
155,Mixed chowmein [full]
156,Dum Aloo Chetinadu
157,Gravy laphing
158,Roasted Almond Ice Cream (300 grams)
159,Vanilla Ripple Ice cream 
160,Chicken Surprise Burger + McChicken Burger
161,Mawa 200 Gm
162,Small Fish Fry
163,Mutton Biriyani
164,Egg Haka Noodles
165,PASTA WITH RED SAUCE
166,Korean Juicy Chicken Roll & Med Fries
167,Mix Vegetables (Serves 2)
168,Taiwan Special Chilli Mushroom and Baby Corn
169,Mathi Fry
170,Cinnamon Tea
171,Butter Naan
172,Rasbhari (1 Kg)
173,Deep Fried Pork Ribs
174,Lemon And Ginger Chicken
175,Fish and chips
176,Signature Peri Peri Chicken Pizza
177,Honey Seeds Cookies
178,Medium UK Special Veg Pizza
179,Classic Veg Fried Rice
180,Gulab Jamun Natural Ice Cream Tub (1 Litre)    
181,Veg Indo Fried Rice 
182,Chocolate Sakkarpara (200 gm)
183,Belgian Chocolate Waffle
184,Veg chowmin
185,Double Heart Chocolate
186,Go Green
187,Murgh Mussalam 
188,Cold Horlicks
189,Omelette 3 eggs
190,Lehsuni chicken haryali tikka
191,Malai kalakand Sandesh
192,Pantua 1 Pc 
193,Rajma Rice (Mix)
194,Dal Makhani Tiffin
195,Pabda Thali
196,Nutkhat Nimbu 200g+50g Scheme
197,Kunafa
198,Chocolate Brownie With Ice Cream
199,Chocolate Tiramisu Jar
200,Colombian Coffee Mocha Fudge Ice Cream
201,Chocolate Kitkat Cake [500 Gm]
202,Mogar Dal
203,Hot Garlic Chicken (12 Pcs)
204,Chicken Garlic Noodles
205,PANKO CRUMB FRY BABY CORN
206,Mawa Mithai Gift Box [250 Grams]
207,Tandoori Murgh Half
208,Garlic Mushroom Fried Rice
209,Do Gosht ki Dum Biryani (Mutton & Chicken Dum Biryani)
210,Chilli Veg
211,Chonak (Sea Bass)
212,Lal Mirch Ka Paratha
213, Match Night  Combo-veg
214,Butter Scotch   
215,Chocolate Fantasy Cakee
216,Lemon Coriander
217,Mixed Stir Fried Noodles
218,Dilkhush (4pcs)
219,Filter Coffee Cookies - Family Pack
220,Corn Kurkure
221,Mix CHOWMEIN
222,Foxnut (Makhana) Pudina 90 Gm
223,Chocochip Pastry
224,Veg Fried Rice With Chicken Kosha & Salad
225,Crispy Fried Chicken                                                 
226,Americana Exotica Sandwich
227,French Fries (Periperi)
228,Makhani Murgh Biryani (Serves-1)
229,Veg Chowmien
230,Honey Soya Chilli Chaap Tikka
231,Paneer Bhujiya
232,Jain Dal Khichdi
233,Puri Sabji With Lassi
234,Classic New York Cheesecake
235,Jeera Aloo + Raita + 5 Tawa Butter Roti
236,Methhi Mathi
237,"Butter Paneer, Dal Makhani Deluxe Thali"
238,Express Non-Veg Thali
239,Chicken Cheese Sandwich  
240,Chicken Crispy Fry Noodles
241,Kaju Tasty
242,Bibimbap  [Chicken]
243,Khasta Kachori with Dahi [1 Piece]
244,Taj-e-Khumb Biryani (Mushroom Biryani - Serves 4).
245,Nutella Hot Coffee
246,Veg McMuffin with protein plus Meal
247,Burnt Chilli Garlic Fried Rice [Beef]
248,Set Dosa                           
249,Cheese Masala Fries
250,Chicken Boneless Charges
251,Penne alfredo
252,Veg Chilli Sauce Momos
253,Kaju Sweets
254,Ajwain Cookies (200 Gms)
255,Palaaram Tabaq
256,Cold Coffee With Ice Cream [ Medium ]
257,Grilled Egg Chicken Sandwich
258,Orange Cake        
259,Diwali Combo 2
260,Dosa Meal 1 [one]
261,Rasgulla (2pcs)
262,Chole With 2 Bhature
263,Momos [6 pieces]
264,Chicken Jalfrezi
265,Ghee Paper Sada Dosa
266,Large EVM McCrispy® Chicken
267,Dal Makhni + Rice
268,Mix Paneer  Veg Curry
269,Spicy Pork Ribs With Bamboo Shoot
270,Cheesy Macaroni Veg Pizza Regular
271,Garlic Kaaram Podi - 125Gms
272,Sausage roll
273,Beef Lasagne
274,100 rasmalai per plate
275,Veg Cheesy Garlic Alfalyfila Pizza [9 Inches]
276,McAloo Tikki Burger + Cappuccino
277,Paneer Tikka Lalmirchi
278,Jam Sandwich With Grill Regular (120 Gms)
279,Mix Pakoda
280,Chicken Mexicano Pizza [Regular 7]
281,Special non veg noodles combo  (chicken)
282,Anjeer Paan 250Gm
283,Til Coconut Cookies (400 Gms) 
284,Chicken Oriental Fried Rice
285,Baked Fish In Choice Of Sauce
286,Nellore Chicken Biryani
287,Hot Pork Ramen
288,White sauce pasta non veg
289,Special Sandwich
290,Chicken Reshmi Kabab
291,Shahi Chicken - Light Meal
292,Don Katsu [Pork]
293,Paneer Thali 
294,7UP RizzFizz
295,Mini aloo chaap [6 pcs]
296,Hakka Noodle Veg
297,Veg Fried Rice
298,4 Kg Subz Tarkari Biryani + Tandoori Paneer Tikka [6 Pieces]
299,1 Missi Roti
300,Wok Tossed Jade Fried Rice
301,Vegetable Steak Sizzler
302,Nutella Ferrero Cake
303,Chinese Platter Non-Veg
304,White Chocolate Waffle
305,Pork Mushroom Chow
306,2 Veg Patty & Medium Fries
307,Veg Classic Momos (Creamy Afghani) (6 Pcs)
308,Bikaneri Bhakar Badal
309,KAJU PHOOL (1 KG)
310,Coffee Milk Tea             
311,Rajma Rice Butter Fry
312,"Anna Special Akadasi Thali (Sabudanar Khichdi,Roti,Beguni,Mix veg,Kabli paneer,Chutney)"
313,Choco Butterscotch Barks (300g) In Gift Box
314,Veg Pakoda [10 Pieces]
315,Tendor Coconut Pudding
316,Malai Soya Chaap
317,Mountain dew [330 ml] can
318,Lutf-E-Tandoor
319,Baluchi Chicken (with Keema)
320,Creamy garlic chicken
321,Paneer Khurchan
322,Flamingo Hot Pizza
323,Chick Mutt Murga Gravy 1000 ml
324,Paneer Mushroom Noodles
325,Chicken Biryani Jumbo (2-3 Pax)
326,Chenna Piece(P)
327,Bread roll   [5 pcs]
328,Chocolate Ice Cream + Death by Chocolate Cake Jar
329,South Indian Mini Thali
330,Egg Noodles Large
331,Vrindavan Special Gol  Peda  500 G
332,Dry [Veg]
333,Puri [3 Pc]
334,Jeyuk  bokkeum
335,Chicken Momos From Hell
336,Gud Badaam Stick Kulfi
337,Crispy Chicken Wrap
338,Paneer Usal poha
339,Prawn Ramen
340,Chicken Biryani With Gravy 
341,Crunchy Tacos
342,Cows Ghee
343,Raggi Dosa
344,Gosht Burrah Kebab [2 Pcs]
345,Octopus Chilly
